Opening Input File:<testdata/SearchString16.txt> 
Input File Size is:<16526618>
Done Reading Input File!
Opening Pattern File:<testdata/testpattern10.txt> 
Done Reading Pattern File!
---***Pratt-Boyer-Moore string search***---
The Worker 1 start searching.
worker 1: processing 0 of 256
The Worker 3 start searching.
worker 3: processing 512 of 768
worker 1: processing 1 of 256
The Worker 2 start searching.
worker 2: processing 256 of 512
worker 2: processing 257 of 512
worker 1: processing 2 of 256
The Worker 4 start searching.
worker 4: processing 768 of 1024
worker 2: processing 258 of 512
worker 1: processing 3 of 256
worker 3: processing 513 of 768
worker 2: processing 259 of 512
worker 1: processing 4 of 256
worker 4: processing 769 of 1024
worker 2: processing 260 of 512
worker 3: processing 514 of 768
worker 1: processing 5 of 256
worker 2: processing 261 of 512
worker 4: processing 770 of 1024
worker 3: processing 515 of 768
worker 1: processing 6 of 256
worker 2: processing 262 of 512
worker 4: processing 771 of 1024
worker 3: processing 516 of 768
worker 1: processing 7 of 256
worker 2: processing 263 of 512
worker 4: processing 772 of 1024
worker 1: processing 8 of 256
worker 3: processing 517 of 768
worker 2: processing 264 of 512
worker 1: processing 9 of 256
worker 2: processing 265 of 512
worker 1: processing 10 of 256
worker 4: processing 773 of 1024
worker 2: processing 266 of 512
worker 1: processing 11 of 256
worker 2: processing 267 of 512
worker 3: processing 518 of 768
worker 1: processing 12 of 256
worker 4: processing 774 of 1024
worker 2: processing 268 of 512
worker 2: processing 269 of 512
worker 3: processing 519 of 768
worker 1: processing 13 of 256
worker 2: processing 270 of 512
worker 1: processing 14 of 256
worker 4: processing 775 of 1024
worker 3: processing 520 of 768
worker 2: processing 271 of 512
worker 1: processing 15 of 256
worker 4: processing 776 of 1024
worker 3: processing 521 of 768
worker 2: processing 272 of 512
worker 1: processing 16 of 256
worker 2: processing 273 of 512
worker 1: processing 17 of 256
worker 2: processing 274 of 512
worker 4: processing 777 of 1024
worker 1: processing 18 of 256
worker 3: processing 522 of 768
worker 2: processing 275 of 512
worker 1: processing 19 of 256
worker 2: processing 276 of 512
worker 4: processing 778 of 1024
worker 1: processing 20 of 256
worker 3: processing 523 of 768
worker 2: processing 277 of 512
worker 1: processing 21 of 256
worker 4: processing 779 of 1024
worker 3: processing 524 of 768
worker 2: processing 278 of 512
worker 1: processing 22 of 256
worker 4: processing 780 of 1024
worker 3: processing 525 of 768
worker 2: processing 279 of 512
worker 1: processing 23 of 256
worker 4: processing 781 of 1024
worker 2: processing 280 of 512
worker 3: processing 526 of 768
worker 2: processing 281 of 512
worker 1: processing 24 of 256
worker 1: processing 25 of 256
worker 2: processing 282 of 512
worker 1: processing 26 of 256
worker 4: processing 782 of 1024
worker 2: processing 283 of 512
worker 1: processing 27 of 256
worker 3: processing 527 of 768
worker 2: processing 284 of 512
worker 1: processing 28 of 256
worker 4: processing 783 of 1024
worker 3: processing 528 of 768
worker 2: processing 285 of 512
worker 1: processing 29 of 256
worker 4: processing 784 of 1024
worker 2: processing 286 of 512
worker 3: processing 529 of 768
worker 1: processing 30 of 256
worker 4: processing 785 of 1024
worker 2: processing 287 of 512
worker 3: processing 530 of 768
worker 1: processing 31 of 256
worker 4: processing 786 of 1024
worker 2: processing 288 of 512
worker 1: processing 32 of 256
worker 3: processing 531 of 768
worker 1: processing 33 of 256
worker 1: processing 34 of 256
worker 2: processing 289 of 512
worker 4: processing 787 of 1024
worker 1: processing 35 of 256
worker 3: processing 532 of 768
worker 1: processing 36 of 256
worker 2: processing 290 of 512
worker 4: processing 788 of 1024
worker 3: processing 533 of 768
worker 1: processing 37 of 256
worker 2: processing 291 of 512
worker 4: processing 789 of 1024
worker 1: processing 38 of 256
worker 3: processing 534 of 768
worker 2: processing 292 of 512
worker 4: processing 790 of 1024
worker 1: processing 39 of 256
worker 3: processing 535 of 768
worker 2: processing 293 of 512
worker 1: processing 40 of 256
worker 4: processing 791 of 1024
worker 1: processing 41 of 256
worker 3: processing 536 of 768
worker 1: processing 42 of 256
worker 2: processing 294 of 512
worker 1: processing 43 of 256
worker 4: processing 792 of 1024
worker 3: processing 537 of 768
worker 1: processing 44 of 256
worker 2: processing 295 of 512
worker 4: processing 793 of 1024
worker 1: processing 45 of 256
worker 3: processing 538 of 768
worker 2: processing 296 of 512
worker 1: processing 46 of 256
worker 4: processing 794 of 1024
worker 3: processing 539 of 768
worker 1: processing 47 of 256
worker 2: processing 297 of 512
worker 4: processing 795 of 1024
worker 3: processing 540 of 768
worker 1: processing 48 of 256
worker 2: processing 298 of 512
worker 1: processing 49 of 256
worker 4: processing 796 of 1024
worker 3: processing 541 of 768
worker 1: processing 50 of 256
worker 1: processing 51 of 256
worker 2: processing 299 of 512
worker 4: processing 797 of 1024
worker 3: processing 542 of 768
worker 1: processing 52 of 256
worker 2: processing 300 of 512
worker 1: processing 53 of 256
worker 4: processing 798 of 1024
worker 3: processing 543 of 768
worker 1: processing 54 of 256
worker 2: processing 301 of 512
worker 4: processing 799 of 1024
worker 3: processing 544 of 768
worker 1: processing 55 of 256
worker 2: processing 302 of 512
worker 4: processing 800 of 1024
